TransactionId;CustomerId;PolicyNumber;PolicyContractDate;IncidentOcurredDate;IncidentReportDate;InsuranceType;PremiumAmount;ClaimAmount;CustomerName;AdressStreet;AdressNumber;City;State;PostalCode;SSN;MaritalStatus;AgeInsured;Tenure;EmploymentStatus;NoFamilyMembers;RiskSegmentation;HouseType;SocialClass;InsuredEducationLevel;IncidentSeverity;AuthorityContacted;AnyInjury;PoliceReportAvaible;IncidentState;IncidentCity;IncidentHourOfTheDate;AgentId;VendorId;ClaimStatus
TXN00000001;A00003822;PLC00008468;23/6/2015;16/5/2020;21/5/2020;Health;15713;9000;Christopher Demarest;West Saint John Road;7701;Glendale;AZ;85308;087-11-1946;Y;54;89;Y;3;L;Own;LI;Bachelor;Major Loss;Police;0;1;GA;Savannah;4;AGENT00413;VNDR00556;A
TXN00000002;A00008149;PLC00009594;21/4/2018;13/5/2020;18/5/2020;Property;14171;26000;Ricardo Gatlin;West 81st Drive;8595;Arvada;CO;80005;685-33-3536;N;61;80;Y;4;L;Rent;MI;Bachelor;Total Loss;Ambulance;1;0;AL;Montgomery;0;AGENT00769;VNDR00592;A
TXN00000003;A00003172;PLC00007969;3/10/2019;21/5/2020;26/5/2020;Property;15724;13000;Lashawn Engles;Britannia Drive;637;Vallejo;CA;94591;378-36-0672;N;47;68;Y;6;L;Rent;MI;PhD;Total Loss;Police;0;1;CO;Grand Junction;19;AGENT00883;VNDR00031;A
TXN00000004;A00007572;PLC00009292;29/11/2016;14/5/2020;19/5/2020;Health;17287;16000;Steven Bassett;River Drive;2803;Thunderbolt;GA;31404;669-92-1861;Y;36;16;Y;7;L;Mortgage;MI;Masters;Minor Loss;Ambulance;0;0;GA;Savannah;12;AGENT00278;VNDR00075;A
TXN00000005;A00008173;PLC00000204;26/12/2011;17/5/2020;22/5/2020;Travel;8853;3000;Jason Rodriguez;National Drive;7573;Livermore;CA;94550;703-40-1033;Y;51;16;Y;2;M;Rent;HI;Masters;Major Loss;Police;0;1;TN;Nashville;18;AGENT00636;VNDR00472;A
TXN00000006;A00003571;PLC00007244;28/12/2012;20/5/2020;25/5/2020;Life;8702;63000;Terrance Han;North 59th Avenue;5275;Glendale;AZ;85301;059-08-4065;N;42;38;Y;2;M;Rent;MI;College;Major Loss;Ambulance;0;1;AZ;Glendale;0;AGENT00402;;A
TXN00000007;A00007245;PLC00002796;26/10/2012;13/5/2020;18/5/2020;Health;19723;3000;Dennis Johnson;Marla Drive;5119;Panama City;FL;32404;539-25-2348;Y;61;20;Y;7;L;Rent;MI;NA;Major Loss;Police;1;1;CT;Manchester;10;AGENT00322;VNDR00150;A
TXN00000008;A00004301;PLC00002925;30/12/2018;14/5/2020;19/5/2020;Motor;8377;8000;Maryalice Martinez;Little Country Place;6;Savannah;GA;31406;791-66-5539;Y;35;97;Y;3;L;Rent;MI;High School;Total Loss;Police;0;1;FL;Panama City Beach;10;AGENT00152;VNDR00326;A
TXN00000009;A00004671;PLC00006886;27/6/2019;21/5/2020;26/5/2020;Motor;8214;5000;Nicholas Hamilton;South 2nd Street;642;Louisville;KY;40202;427-41-7221;N;27;118;Y;4;H;Mortgage;MI;Bachelor;Major Loss;Police;0;1;AZ;Glendale;22;AGENT00450;VNDR00437;A
TXN00000010;A00002020;PLC00007657;19/12/2015;15/5/2020;20/5/2020;Travel;7129;4000;Nicholas Honokaupu;Stratford Downs Drive;1914;Montgomery;AL;36117;722-69-3392;Y;61;119;Y;4;L;Rent;HI;PhD;Major Loss;None;0;0;CA;San Leandro;4;AGENT00682;;A
TXN00000011;A00007952;PLC00003007;30/3/2019;20/5/2020;25/5/2020;Life;6145;92000;Janet Watts;Redwood Road;200;Manchester;CT;6040;233-66-3524;N;59;14;Y;7;M;Mortgage;MI;Masters;Major Loss;Ambulance;1;1;MD;Crofton;23;AGENT01091;VNDR00163;A
TXN00000012;A00006313;PLC00002139;22/7/2016;21/5/2020;26/5/2020;Motor;10115;8000;Patricia Garrett;Boundary Run;6721;Nashville;TN;37221;224-80-1633;Y;42;39;Y;2;H;Own;HI;High School;Major Loss;Ambulance;1;1;CT;Manchester;3;AGENT00288;;D
TXN00000013;A00003693;PLC00007839;12/6/2019;24/5/2020;27/5/2020;Health;15795;11000;Lisa Rosario;Old Seward Highway;12870;Anchorage;AK;99515;115-30-1247;Y;57;118;Y;3;M;Mortgage;LI;Bachelor;Major Loss;None;0;1;KY;Louisville;22;AGENT00015;VNDR00191;A
TXN00000014;A00007988;PLC00002521;29/1/2020;18/5/2020;23/5/2020;Life;6416;51000;Felicita Stoughton;Oxford Road;110;Savannah;GA;31419;170-28-1062;N;31;118;Y;7;L;Own;LI;High School;Total Loss;Ambulance;1;0;AK;Anchorage;0;AGENT01094;;A
TXN00000015;A00005617;PLC00007011;8/6/2015;20/5/2020;25/5/2020;Mobile;676;700;David Pennington;Seaman;210;McCrory;AR;72101;519-11-2464;Y;55;90;Y;6;L;Mortgage;HI;PhD;Major Loss;Police;1;1;CO;Arvada;11;AGENT00324;VNDR00135;A
TXN00000016;A00008033;PLC00008152;25/1/2011;12/5/2020;17/5/2020;Motor;12873;9000;William Halcomb;E Street Southeast;5124;Washington;DC;20019;142-09-4530;Y;57;48;Y;2;L;Rent;LI;NA;Minor Loss;Police;0;1;AR;Fayetteville;22;AGENT00608;VNDR00051;A
TXN00000017;A00007184;PLC00000118;17/4/2014;13/5/2020;18/5/2020;Property;11442;39000;Michael Kimball;Edison Road;42;Manchester;CT;6040;448-54-0272;Y;53;19;Y;5;M;Mortgage;MI;Bachelor;Major Loss;Other;0;1;DC;Washington;2;AGENT00911;VNDR00238;A
TXN00000018;A00007426;PLC00000165;25/3/2015;22/5/2020;25/5/2020;Property;15718;40000;Mark Huang;West 74th Avenue;9545;Arvada;CO;80005;696-53-5272;Y;32;106;Y;4;L;Mortgage;HI;Bachelor;Major Loss;Police;0;1;AL;Montgomery;14;AGENT00079;;A
TXN00000019;A00009265;PLC00000619;3/11/2017;27/5/2020;28/5/2020;Motor;11655;8000;Marshall Worm;Oakland Street;119;Manchester;CT;6042;848-09-7847;N;45;69;Y;4;H;Mortgage;MI;High School;Total Loss;Ambulance;0;1;MA;Fitchburg;20;AGENT00994;VNDR00107;A
TXN00000020;A00005314;PLC00001411;8/11/2013;17/5/2020;22/5/2020;Life;7717;68000;Mary Carmona;Farragut Street Northwest;643;Washington;DC;20011;614-24-5584;Y;59;119;Y;5;M;Mortgage;MI;High School;Total Loss;None;1;1;CO;Arvada;1;AGENT00490;;A
TXN00000021;A00004720;PLC00003338;10/7/2015;30/5/2020;30/5/2020;Health;15523;17000;Stacey Lopez;Skyline Way;10;Hartford;VT;5001;889-29-6243;Y;51;51;Y;6;L;Own;MI;High School;Total Loss;Other;1;0;CO;Arvada;3;AGENT00446;VNDR00215;A
TXN00000022;A00004728;PLC00004242;19/1/2017;26/5/2020;28/5/2020;Mobile;915;300;David Goodman;Scenic Avenue;1358;Berkeley;CA;94708;272-95-9193;N;51;101;Y;4;L;Rent;LI;Masters;Major Loss;Ambulance;0;1;DC;Washington;18;AGENT00379;;A
TXN00000023;A00001482;PLC00007915;29/12/2011;28/5/2020;29/5/2020;Life;8145;80000;Doris Yazzie;Guava Avenue;17109;Panama City Beach;FL;32413;258-50-0636;N;44;49;Y;4;L;Rent;MI;Bachelor;Major Loss;Ambulance;1;1;CA;Woodland;7;AGENT00302;VNDR00375;A
TXN00000024;A00001719;PLC00000786;20/6/2015;22/5/2020;25/5/2020;Property;15304;10000;Matt Mattis;West 27th Avenue;1040;Anchorage;AK;99503;438-64-3416;Y;64;81;N;7;M;Rent;MI;NA;Total Loss;None;0;0;CO;Arvada;22;AGENT00266;VNDR00585;A
TXN00000025;A00000138;PLC00009960;29/10/2011;17/5/2020;22/5/2020;Property;12031;30000;Roberto Trudel;Oxford Road;110;Savannah;GA;31419;119-15-1075;Y;47;60;Y;5;L;Mortgage;MI;Bachelor;Minor Loss;Police;1;0;FL;Lynn Haven;10;AGENT00947;;A
TXN00000026;A00001186;PLC00007391;18/3/2018;27/5/2020;28/5/2020;Property;8709;37000;Brian Conley;Allerford Drive;1742;Hanover;MD;21076;786-93-0182;Y;47;95;Y;5;H;Mortgage;MI;Bachelor;Minor Loss;Police;1;1;TN;Nashville;13;AGENT00070;VNDR00051;A
TXN00000027;A00006946;PLC00009230;30/12/2011;14/5/2020;19/5/2020;Health;13078;17000;Barbara Clouthier;Howe Street;4329;Oakland;CA;94611;363-11-4142;Y;26;28;Y;3;L;Rent;MI;PhD;Total Loss;Police;1;1;GA;Savannah;11;AGENT00739;;A
TXN00000028;A00004112;PLC00003274;23/6/2014;28/5/2020;29/5/2020;Health;1194;19000;Elbert Felix;South Wilmington Avenue;780;Fayetteville;AR;72701;438-24-0006;Y;57;85;Y;3;L;Own;HI;Masters;Minor Loss;Police;0;0;MA;Quincy;0;AGENT01169;VNDR00310;A
